year,race_name,date,circuit_name,location,country,Driver,driver_code,finish_position,race_points,status,stop,pit_lap,pit_duration,Tire Compound,Stint Length,Stint,Air_Temp_C,Track_Temp_C,Humidity_%,Wind_Speed_KMH,TotalPitStops,AvgPitStopTime,Lap Time Variation,Total Pit Stops,Tire Usage Aggression,Fast Lap Attempts,Position Changes,Driver Aggression Score
2018,Japanese Grand Prix,2018-10-07,Suzuka Circuit,Suzuka,Japan,Sebastian Vettel,VET,6,8.0,Finished,1,26,22.748,SOFT,27.0,2.0,22.054166666666674,27.554166666666674,75.375,9.408333333333331,1.0,22.748,0.002039693,0.1428571428571428,0.018867925,43.80781994581159,0.217391304,6.633011901
2018,Mexican Grand Prix,2018-10-28,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Kimi Räikkönen,RAI,3,15.0,Finished,1,17,22.017,,,,,,,,,,,,,,,
2018,Mexican Grand Prix,2018-10-28,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Sebastian Vettel,VET,2,18.0,Finished,1,17,22.658,,,,,,,,,,,,,,,
2018,Mexican Grand Prix,2018-10-28,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Sebastian Vettel,VET,2,18.0,Finished,2,47,21.777,,,,,,,,,,,,,,,
2018,Monaco Grand Prix,2018-05-27,Circuit de Monaco,Monte-Carlo,Monaco,Kimi Räikkönen,RAI,4,12.0,Finished,1,17,24.263,,,,,,,,,,,,,,,
2018,Monaco Grand Prix,2018-05-27,Circuit de Monaco,Monte-Carlo,Monaco,Sebastian Vettel,VET,2,18.0,Finished,1,16,23.964,HYPERSOFT,15.0,1.0,23.7875,29.2875,63.333333333333336,10.983333333333333,1.0,23.964,0.0024398,0.1428571428571428,0.012820513,42.59181995,0.043478261,6.432131146367046
2018,Monaco Grand Prix,2018-05-27,Circuit de Monaco,Monte-Carlo,Monaco,Sebastian Vettel,VET,2,18.0,Finished,1,16,23.964,ULTRASOFT,62.0,2.0,23.7875,29.2875,63.333333333333336,10.983333333333333,1.0,23.964,0.0024398,0.1428571428571428,0.012820513,42.59181995,0.043478261,6.432131146367046
2018,Russian Grand Prix,2018-09-30,Sochi Autodrom,Sochi,Russia,Kimi Räikkönen,RAI,4,12.0,Finished,1,18,29.531,,,,,,,,,,,,,,,
2018,Russian Grand Prix,2018-09-30,Sochi Autodrom,Sochi,Russia,Sebastian Vettel,VET,3,15.0,Finished,1,13,29.798,ULTRASOFT,12.0,1.0,18.904166666666665,24.104166666666664,84.04166666666667,6.550000000000001,1.0,29.798,0.004359395,0.1428571428571428,0.018867925,36.75781994581159,0.086956522,5.563164333247105
2018,Russian Grand Prix,2018-09-30,Sochi Autodrom,Sochi,Russia,Sebastian Vettel,VET,3,15.0,Finished,1,13,29.798,SOFT,40.0,2.0,18.904166666666665,24.104166666666664,84.04166666666667,6.550000000000001,1.0,29.798,0.004359395,0.1428571428571428,0.018867925,36.75781994581159,0.086956522,5.563164333247105
